cluster_id,perm_index,perm
5,0,0
0,1,1
3,2,2
5,3,3
0,4,4
1,5,5
5,6,6
5,7,7
0,8,8
5,9,9
5,10,10
3,11,11
4,12,12
5,13,13
0,14,14
3,15,15
1,16,16
2,17,17
0,18,18
3,19,19
3,20,20
0,21,21
4,22,22
1,23,23
3,24,24
1,25,25
2,26,26
0,27,27
2,28,28
4,29,29
0,30,30
3,31,31
0,32,32
1,33,33
1,34,34
4,35,35
2,36,36
1,37,37
0,38,38
0,39,39
2,40,40
1,41,41
3,42,42
1,43,43
3,44,44
0,45,45
0,46,46
0,47,47
3,48,48
0,49,49
2,50,50
2,51,51
5,52,52
1,53,53
4,54,54
3,55,55
5,56,56
0,57,57
3,58,58
3,59,59
2,60,60
1,61,61
0,62,62
3,63,63
3,64,64
1,65,65
0,66,66
5,67,67
1,68,68
5,69,69
5,70,70
0,71,71
5,72,72
1,73,73
2,74,74
1,75,75
3,76,76
2,77,77
5,78,78
3,79,79
4,80,80
0,81,81
5,82,82
1,83,83
1,84,84
1,85,85
0,86,86
0,87,87
3,88,88
2,89,89
5,90,90
0,91,91
1,92,92
5,93,93
1,94,94
1,95,95
1,96,96
2,97,97
2,98,98
1,99,99
4,100,100
0,101,101
1,102,102
0,103,103
0,104,104
2,105,105
5,106,106
5,107,107
5,108,108
1,109,109
4,110,110
2,111,111
4,112,112
0,113,113
1,114,114
1,115,115
1,116,116
1,117,117
5,118,118
5,119,119
4,120,120
0,121,121
1,122,122
4,123,123
2,124,124
2,125,125
3,126,126
1,127,127
0,128,128
3,129,129
0,130,130
1,131,131
2,132,132
4,133,133
1,134,134
3,135,135
5,136,136
1,137,137
4,138,138
0,139,139
5,140,140
2,141,141
1,142,142
2,143,143
1,144,144
2,145,145
0,146,146
5,147,147
0,148,148
5,149,149
5,150,150
2,151,151
1,152,152
5,153,153
0,154,154
2,155,155
1,156,156
3,157,157
2,158,158
5,159,159
5,160,160
0,161,161
2,162,162
2,163,163
3,164,164
2,165,165
5,166,166
1,167,167
3,168,168
0,169,169
0,170,170
4,171,171
3,172,172
0,173,173
5,174,174
4,175,175
