cluster_id,perm_index,perm
0,0,0
3,1,1
0,2,2
4,3,3
5,4,4
4,5,5
5,6,6
0,7,7
3,8,8
0,9,9
1,10,10
1,11,11
4,12,12
1,13,13
3,14,14
3,15,15
1,16,16
4,17,17
0,18,18
1,19,19
0,20,20
0,21,21
2,22,22
3,23,23
3,24,24
1,25,25
5,26,26
1,27,27
0,28,28
4,29,29
2,30,30
2,31,31
5,32,32
1,33,33
4,34,34
0,35,35
0,36,36
3,37,37
1,38,38
1,39,39
2,40,40
0,41,41
2,42,42
0,43,43
2,44,44
4,45,45
5,46,46
0,47,47
1,48,48
2,49,49
1,50,50
2,51,51
1,52,52
2,53,53
4,54,54
5,55,55
0,56,56
3,57,57
3,58,58
1,59,59
0,60,60
2,61,61
2,62,62
0,63,63
3,64,64
3,65,65
0,66,66
5,67,67
1,68,68
0,69,69
1,70,70
0,71,71
2,72,72
0,73,73
5,74,74
2,75,75
0,76,76
2,77,77
1,78,78
4,79,79
4,80,80
0,81,81
0,82,82
2,83,83
1,84,84
3,85,85
0,86,86
5,87,87
0,88,88
0,89,89
2,90,90
3,91,91
0,92,92
2,93,93
5,94,94
3,95,95
4,96,96
5,97,97
5,98,98
1,99,99
1,100,100
0,101,101
4,102,102
4,103,103
5,104,104
3,105,105
1,106,106
0,107,107
2,108,108
4,109,109
2,110,110
0,111,111
3,112,112
5,113,113
0,114,114
0,115,115
5,116,116
2,117,117
2,118,118
5,119,119
2,120,120
2,121,121
2,122,122
1,123,123
3,124,124
0,125,125
0,126,126
0,127,127
1,128,128
1,129,129
3,130,130
1,131,131
5,132,132
2,133,133
2,134,134
3,135,135
2,136,136
0,137,137
2,138,138
1,139,139
3,140,140
0,141,141
3,142,142
0,143,143
2,144,144
2,145,145
0,146,146
0,147,147
4,148,148
3,149,149
0,150,150
3,151,151
1,152,152
0,153,153
2,154,154
0,155,155
1,156,156
3,157,157
0,158,158
5,159,159
4,160,160
4,161,161
5,162,162
2,163,163
0,164,164
0,165,165
1,166,166
3,167,167
0,168,168
3,169,169
1,170,170
4,171,171
0,172,172
0,173,173
0,174,174
1,175,175
0,176,176
5,177,177
0,178,178
4,179,179
1,180,180
0,181,181
5,182,182
0,183,183
5,184,184
5,185,185
4,186,186
2,187,187
1,188,188
2,189,189
2,190,190
3,191,191
3,192,192
0,193,193
5,194,194
0,195,195
2,196,196
0,197,197
0,198,198
1,199,199
0,200,200
3,201,201
2,202,202
3,203,203
0,204,204
0,205,205
1,206,206
3,207,207
2,208,208
3,209,209
0,210,210
0,211,211
0,212,212
1,213,213
1,214,214
4,215,215
3,216,216
2,217,217
2,218,218
1,219,219
0,220,220
0,221,221
0,222,222
1,223,223
2,224,224
2,225,225
1,226,226
0,227,227
3,228,228
2,229,229
1,230,230
0,231,231
5,232,232
0,233,233
5,234,234
2,235,235
1,236,236
1,237,237
1,238,238
1,239,239
0,240,240
1,241,241
4,242,242
0,243,243
1,244,244
1,245,245
0,246,246
3,247,247
2,248,248
3,249,249
1,250,250
0,251,251
5,252,252
1,253,253
2,254,254
0,255,255
0,256,256
2,257,257
5,258,258
4,259,259
3,260,260
2,261,261
0,262,262
2,263,263
0,264,264
2,265,265
0,266,266
5,267,267
0,268,268
2,269,269
0,270,270
5,271,271
0,272,272
1,273,273
3,274,274
3,275,275
0,276,276
4,277,277
1,278,278
0,279,279
0,280,280
2,281,281
4,282,282
2,283,283
1,284,284
0,285,285
0,286,286
4,287,287
2,288,288
2,289,289
1,290,290
0,291,291
2,292,292
0,293,293
1,294,294
4,295,295
1,296,296
3,297,297
2,298,298
0,299,299
1,300,300
0,301,301
1,302,302
0,303,303
3,304,304
0,305,305
0,306,306
0,307,307
0,308,308
4,309,309
2,310,310
5,311,311
1,312,312
4,313,313
2,314,314
0,315,315
4,316,316
3,317,317
0,318,318
0,319,319
3,320,320
2,321,321
1,322,322
3,323,323
0,324,324
2,325,325
2,326,326
1,327,327
1,328,328
1,329,329
1,330,330
1,331,331
3,332,332
0,333,333
4,334,334
0,335,335
4,336,336
1,337,337
2,338,338
2,339,339
2,340,340
4,341,341
1,342,342
0,343,343
5,344,344
2,345,345
2,346,346
2,347,347
1,348,348
1,349,349
1,350,350
0,351,351
2,352,352
2,353,353
1,354,354
1,355,355
3,356,356
1,357,357
0,358,358
3,359,359
0,360,360
0,361,361
1,362,362
4,363,363
1,364,364
2,365,365
1,366,366
1,367,367
0,368,368
0,369,369
2,370,370
1,371,371
3,372,372
1,373,373
2,374,374
0,375,375
1,376,376
3,377,377
0,378,378
1,379,379
0,380,380
5,381,381
5,382,382
4,383,383
0,384,384
4,385,385
3,386,386
0,387,387
3,388,388
0,389,389
0,390,390
1,391,391
0,392,392
0,393,393
0,394,394
0,395,395
3,396,396
1,397,397
2,398,398
2,399,399
4,400,400
2,401,401
1,402,402
2,403,403
1,404,404
0,405,405
0,406,406
2,407,407
2,408,408
1,409,409
2,410,410
0,411,411
2,412,412
0,413,413
0,414,414
2,415,415
2,416,416
5,417,417
1,418,418
1,419,419
0,420,420
0,421,421
2,422,422
4,423,423
1,424,424
5,425,425
3,426,426
1,427,427
3,428,428
0,429,429
2,430,430
2,431,431
3,432,432
4,433,433
0,434,434
4,435,435
0,436,436
3,437,437
3,438,438
2,439,439
0,440,440
3,441,441
5,442,442
3,443,443
0,444,444
0,445,445
4,446,446
3,447,447
3,448,448
3,449,449
1,450,450
0,451,451
1,452,452
1,453,453
2,454,454
2,455,455
1,456,456
1,457,457
3,458,458
0,459,459
1,460,460
2,461,461
1,462,462
3,463,463
3,464,464
2,465,465
2,466,466
0,467,467
0,468,468
5,469,469
0,470,470
3,471,471
0,472,472
5,473,473
0,474,474
3,475,475
2,476,476
2,477,477
3,478,478
4,479,479
0,480,480
3,481,481
3,482,482
4,483,483
1,484,484
3,485,485
4,486,486
0,487,487
2,488,488
2,489,489
4,490,490
1,491,491
2,492,492
4,493,493
1,494,494
2,495,495
2,496,496
2,497,497
3,498,498
4,499,499
1,500,500
2,501,501
0,502,502
1,503,503
4,504,504
2,505,505
5,506,506
5,507,507
0,508,508
4,509,509
3,510,510
1,511,511
2,512,512
4,513,513
0,514,514
2,515,515
2,516,516
0,517,517
2,518,518
0,519,519
2,520,520
5,521,521
2,522,522
0,523,523
1,524,524
3,525,525
3,526,526
0,527,527
2,528,528
1,529,529
0,530,530
2,531,531
3,532,532
0,533,533
1,534,534
1,535,535
2,536,536
1,537,537
0,538,538
3,539,539
1,540,540
2,541,541
1,542,542
2,543,543
2,544,544
0,545,545
3,546,546
0,547,547
1,548,548
5,549,549
3,550,550
0,551,551
1,552,552
0,553,553
1,554,554
3,555,555
0,556,556
2,557,557
5,558,558
0,559,559
0,560,560
5,561,561
1,562,562
0,563,563
1,564,564
0,565,565
0,566,566
1,567,567
0,568,568
5,569,569
4,570,570
3,571,571
2,572,572
0,573,573
0,574,574
2,575,575
4,576,576
2,577,577
1,578,578
3,579,579
0,580,580
1,581,581
4,582,582
0,583,583
3,584,584
3,585,585
0,586,586
1,587,587
4,588,588
2,589,589
1,590,590
0,591,591
4,592,592
2,593,593
0,594,594
2,595,595
0,596,596
0,597,597
0,598,598
1,599,599
1,600,600
2,601,601
3,602,602
4,603,603
3,604,604
2,605,605
0,606,606
5,607,607
2,608,608
2,609,609
2,610,610
2,611,611
1,612,612
1,613,613
5,614,614
2,615,615
1,616,616
1,617,617
3,618,618
0,619,619
3,620,620
2,621,621
3,622,622
4,623,623
0,624,624
0,625,625
5,626,626
3,627,627
3,628,628
0,629,629
0,630,630
5,631,631
2,632,632
4,633,633
2,634,634
3,635,635
1,636,636
1,637,637
1,638,638
3,639,639
1,640,640
2,641,641
1,642,642
4,643,643
0,644,644
0,645,645
4,646,646
0,647,647
3,648,648
0,649,649
2,650,650
2,651,651
5,652,652
5,653,653
2,654,654
1,655,655
1,656,656
3,657,657
0,658,658
2,659,659
2,660,660
1,661,661
1,662,662
2,663,663
3,664,664
2,665,665
0,666,666
5,667,667
0,668,668
2,669,669
1,670,670
1,671,671
3,672,672
2,673,673
4,674,674
2,675,675
3,676,676
4,677,677
1,678,678
3,679,679
2,680,680
1,681,681
5,682,682
1,683,683
5,684,684
0,685,685
0,686,686
3,687,687
0,688,688
0,689,689
2,690,690
1,691,691
0,692,692
5,693,693
4,694,694
4,695,695
2,696,696
2,697,697
4,698,698
0,699,699
0,700,700
3,701,701
3,702,702
3,703,703
0,704,704
0,705,705
0,706,706
3,707,707
2,708,708
3,709,709
2,710,710
5,711,711
4,712,712
0,713,713
1,714,714
1,715,715
2,716,716
2,717,717
2,718,718
2,719,719
5,720,720
1,721,721
2,722,722
2,723,723
0,724,724
0,725,725
4,726,726
0,727,727
1,728,728
1,729,729
0,730,730
4,731,731
3,732,732
4,733,733
0,734,734
1,735,735
4,736,736
1,737,737
0,738,738
2,739,739
4,740,740
0,741,741
1,742,742
5,743,743
3,744,744
0,745,745
0,746,746
4,747,747
4,748,748
0,749,749
3,750,750
4,751,751
4,752,752
3,753,753
2,754,754
0,755,755
0,756,756
2,757,757
1,758,758
2,759,759
0,760,760
0,761,761
1,762,762
3,763,763
2,764,764
3,765,765
4,766,766
4,767,767
4,768,768
1,769,769
2,770,770
0,771,771
2,772,772
0,773,773
0,774,774
3,775,775
3,776,776
4,777,777
2,778,778
2,779,779
2,780,780
1,781,781
1,782,782
1,783,783
0,784,784
2,785,785
5,786,786
1,787,787
1,788,788
0,789,789
3,790,790
2,791,791
1,792,792
1,793,793
5,794,794
0,795,795
4,796,796
3,797,797
3,798,798
3,799,799
4,800,800
5,801,801
3,802,802
1,803,803
1,804,804
0,805,805
3,806,806
1,807,807
2,808,808
0,809,809
3,810,810
0,811,811
1,812,812
4,813,813
0,814,814
1,815,815
3,816,816
3,817,817
2,818,818
0,819,819
0,820,820
0,821,821
2,822,822
3,823,823
3,824,824
0,825,825
3,826,826
2,827,827
1,828,828
0,829,829
2,830,830
3,831,831
2,832,832
2,833,833
5,834,834
0,835,835
0,836,836
1,837,837
0,838,838
4,839,839
5,840,840
4,841,841
0,842,842
2,843,843
3,844,844
3,845,845
0,846,846
0,847,847
1,848,848
2,849,849
4,850,850
4,851,851
1,852,852
0,853,853
3,854,854
1,855,855
3,856,856
2,857,857
0,858,858
3,859,859
5,860,860
4,861,861
0,862,862
0,863,863
5,864,864
0,865,865
1,866,866
1,867,867
3,868,868
0,869,869
1,870,870
1,871,871
2,872,872
4,873,873
4,874,874
2,875,875
2,876,876
0,877,877
0,878,878
5,879,879
3,880,880
1,881,881
3,882,882
4,883,883
4,884,884
2,885,885
0,886,886
0,887,887
2,888,888
1,889,889
2,890,890
2,891,891
2,892,892
2,893,893
3,894,894
4,895,895
2,896,896
1,897,897
2,898,898
2,899,899
0,900,900
1,901,901
3,902,902
5,903,903
1,904,904
0,905,905
3,906,906
4,907,907
4,908,908
0,909,909
0,910,910
0,911,911
3,912,912
2,913,913
0,914,914
2,915,915
1,916,916
3,917,917
0,918,918
4,919,919
2,920,920
0,921,921
1,922,922
3,923,923
0,924,924
0,925,925
2,926,926
2,927,927
2,928,928
3,929,929
2,930,930
2,931,931
3,932,932
0,933,933
3,934,934
2,935,935
1,936,936
2,937,937
0,938,938
4,939,939
2,940,940
2,941,941
1,942,942
0,943,943
4,944,944
0,945,945
2,946,946
5,947,947
2,948,948
2,949,949
0,950,950
2,951,951
2,952,952
4,953,953
1,954,954
0,955,955
0,956,956
0,957,957
2,958,958
4,959,959
5,960,960
1,961,961
0,962,962
1,963,963
2,964,964
3,965,965
5,966,966
5,967,967
4,968,968
2,969,969
0,970,970
3,971,971
2,972,972
2,973,973
2,974,974
5,975,975
1,976,976
2,977,977
3,978,978
3,979,979
0,980,980
4,981,981
1,982,982
1,983,983
2,984,984
3,985,985
5,986,986
1,987,987
2,988,988
