cluster_id,perm_index,perm
2,0,0
3,1,1
0,2,2
0,3,3
1,4,4
3,5,5
0,6,6
3,7,7
4,8,8
2,9,9
2,10,10
0,11,11
1,12,12
3,13,13
4,14,14
5,15,15
4,16,16
5,17,17
5,18,18
4,19,19
0,20,20
0,21,21
2,22,22
3,23,23
2,24,24
4,25,25
4,26,26
2,27,27
0,28,28
4,29,29
5,30,30
5,31,31
2,32,32
0,33,33
1,34,34
4,35,35
3,36,36
2,37,37
4,38,38
0,39,39
0,40,40
0,41,41
0,42,42
4,43,43
1,44,44
1,45,45
4,46,46
2,47,47
4,48,48
4,49,49
2,50,50
4,51,51
2,52,52
3,53,53
3,54,54
1,55,55
2,56,56
1,57,57
3,58,58
1,59,59
2,60,60
3,61,61
4,62,62
4,63,63
1,64,64
0,65,65
5,66,66
3,67,67
1,68,68
4,69,69
4,70,70
5,71,71
5,72,72
1,73,73
4,74,74
4,75,75
4,76,76
4,77,77
0,78,78
3,79,79
2,80,80
4,81,81
4,82,82
4,83,83
2,84,84
5,85,85
0,86,86
1,87,87
4,88,88
3,89,89
0,90,90
0,91,91
0,92,92
0,93,93
4,94,94
1,95,95
3,96,96
2,97,97
2,98,98
4,99,99
0,100,100
5,101,101
4,102,102
0,103,103
4,104,104
3,105,105
0,106,106
5,107,107
1,108,108
5,109,109
3,110,110
0,111,111
1,112,112
1,113,113
0,114,114
5,115,115
3,116,116
2,117,117
2,118,118
5,119,119
3,120,120
4,121,121
3,122,122
2,123,123
1,124,124
0,125,125
0,126,126
2,127,127
0,128,128
1,129,129
4,130,130
1,131,131
4,132,132
1,133,133
4,134,134
0,135,135
1,136,136
0,137,137
4,138,138
0,139,139
4,140,140
0,141,141
4,142,142
1,143,143
2,144,144
0,145,145
3,146,146
4,147,147
0,148,148
5,149,149
1,150,150
0,151,151
1,152,152
0,153,153
5,154,154
0,155,155
2,156,156
2,157,157
0,158,158
2,159,159
0,160,160
3,161,161
1,162,162
3,163,163
3,164,164
0,165,165
2,166,166
2,167,167
0,168,168
4,169,169
1,170,170
0,171,171
4,172,172
5,173,173
1,174,174
4,175,175
5,176,176
0,177,177
3,178,178
0,179,179
0,180,180
0,181,181
3,182,182
0,183,183
4,184,184
3,185,185
3,186,186
4,187,187
4,188,188
1,189,189
2,190,190
1,191,191
1,192,192
3,193,193
3,194,194
2,195,195
2,196,196
3,197,197
2,198,198
4,199,199
4,200,200
4,201,201
2,202,202
0,203,203
0,204,204
4,205,205
5,206,206
2,207,207
1,208,208
0,209,209
4,210,210
0,211,211
2,212,212
0,213,213
5,214,214
0,215,215
0,216,216
1,217,217
3,218,218
5,219,219
5,220,220
2,221,221
2,222,222
2,223,223
0,224,224
1,225,225
0,226,226
2,227,227
5,228,228
2,229,229
1,230,230
2,231,231
4,232,232
2,233,233
4,234,234
0,235,235
3,236,236
0,237,237
4,238,238
0,239,239
0,240,240
1,241,241
1,242,242
5,243,243
0,244,244
0,245,245
3,246,246
0,247,247
0,248,248
5,249,249
2,250,250
5,251,251
3,252,252
1,253,253
1,254,254
0,255,255
4,256,256
1,257,257
4,258,258
3,259,259
0,260,260
1,261,261
1,262,262
4,263,263
2,264,264
3,265,265
5,266,266
2,267,267
3,268,268
0,269,269
2,270,270
4,271,271
3,272,272
1,273,273
0,274,274
5,275,275
0,276,276
0,277,277
4,278,278
5,279,279
3,280,280
0,281,281
4,282,282
4,283,283
4,284,284
0,285,285
0,286,286
2,287,287
2,288,288
1,289,289
0,290,290
0,291,291
2,292,292
3,293,293
0,294,294
1,295,295
1,296,296
2,297,297
4,298,298
2,299,299
0,300,300
4,301,301
1,302,302
4,303,303
2,304,304
1,305,305
4,306,306
1,307,307
2,308,308
1,309,309
0,310,310
4,311,311
0,312,312
5,313,313
0,314,314
4,315,315
2,316,316
3,317,317
1,318,318
2,319,319
2,320,320
0,321,321
1,322,322
2,323,323
4,324,324
0,325,325
4,326,326
1,327,327
3,328,328
2,329,329
0,330,330
1,331,331
0,332,332
5,333,333
2,334,334
2,335,335
0,336,336
4,337,337
0,338,338
2,339,339
1,340,340
4,341,341
0,342,342
1,343,343
1,344,344
3,345,345
0,346,346
0,347,347
1,348,348
1,349,349
4,350,350
4,351,351
3,352,352
4,353,353
0,354,354
0,355,355
4,356,356
3,357,357
0,358,358
1,359,359
4,360,360
4,361,361
0,362,362
2,363,363
4,364,364
0,365,365
1,366,366
2,367,367
2,368,368
4,369,369
1,370,370
1,371,371
5,372,372
4,373,373
3,374,374
4,375,375
3,376,376
1,377,377
5,378,378
0,379,379
1,380,380
1,381,381
3,382,382
2,383,383
5,384,384
2,385,385
2,386,386
2,387,387
1,388,388
0,389,389
3,390,390
2,391,391
1,392,392
1,393,393
4,394,394
4,395,395
5,396,396
5,397,397
2,398,398
1,399,399
4,400,400
4,401,401
4,402,402
4,403,403
5,404,404
3,405,405
0,406,406
5,407,407
3,408,408
2,409,409
5,410,410
2,411,411
0,412,412
4,413,413
0,414,414
4,415,415
2,416,416
3,417,417
1,418,418
2,419,419
0,420,420
4,421,421
1,422,422
3,423,423
4,424,424
0,425,425
4,426,426
0,427,427
4,428,428
2,429,429
0,430,430
1,431,431
5,432,432
3,433,433
0,434,434
1,435,435
5,436,436
3,437,437
1,438,438
0,439,439
1,440,440
0,441,441
1,442,442
0,443,443
4,444,444
0,445,445
1,446,446
4,447,447
3,448,448
4,449,449
2,450,450
4,451,451
0,452,452
1,453,453
3,454,454
2,455,455
5,456,456
1,457,457
4,458,458
1,459,459
0,460,460
3,461,461
2,462,462
1,463,463
3,464,464
2,465,465
2,466,466
1,467,467
0,468,468
0,469,469
5,470,470
4,471,471
1,472,472
4,473,473
4,474,474
4,475,475
2,476,476
1,477,477
3,478,478
3,479,479
2,480,480
5,481,481
0,482,482
1,483,483
0,484,484
2,485,485
3,486,486
2,487,487
2,488,488
2,489,489
2,490,490
5,491,491
1,492,492
5,493,493
2,494,494
0,495,495
2,496,496
1,497,497
0,498,498
0,499,499
1,500,500
0,501,501
3,502,502
4,503,503
2,504,504
2,505,505
2,506,506
3,507,507
4,508,508
5,509,509
0,510,510
3,511,511
1,512,512
1,513,513
3,514,514
5,515,515
4,516,516
3,517,517
0,518,518
3,519,519
1,520,520
4,521,521
4,522,522
5,523,523
3,524,524
0,525,525
2,526,526
1,527,527
0,528,528
0,529,529
0,530,530
1,531,531
3,532,532
4,533,533
1,534,534
1,535,535
0,536,536
4,537,537
4,538,538
0,539,539
0,540,540
2,541,541
5,542,542
1,543,543
2,544,544
1,545,545
1,546,546
3,547,547
2,548,548
0,549,549
2,550,550
1,551,551
5,552,552
3,553,553
0,554,554
3,555,555
2,556,556
2,557,557
1,558,558
0,559,559
1,560,560
3,561,561
1,562,562
3,563,563
3,564,564
2,565,565
4,566,566
1,567,567
4,568,568
2,569,569
1,570,570
2,571,571
3,572,572
2,573,573
2,574,574
1,575,575
2,576,576
1,577,577
0,578,578
2,579,579
0,580,580
2,581,581
1,582,582
3,583,583
2,584,584
3,585,585
1,586,586
1,587,587
1,588,588
4,589,589
4,590,590
0,591,591
3,592,592
3,593,593
2,594,594
0,595,595
1,596,596
3,597,597
2,598,598
3,599,599
1,600,600
1,601,601
1,602,602
1,603,603
4,604,604
1,605,605
3,606,606
3,607,607
0,608,608
4,609,609
1,610,610
2,611,611
4,612,612
5,613,613
1,614,614
3,615,615
1,616,616
5,617,617
5,618,618
5,619,619
4,620,620
2,621,621
0,622,622
0,623,623
3,624,624
0,625,625
0,626,626
2,627,627
5,628,628
2,629,629
0,630,630
1,631,631
4,632,632
2,633,633
3,634,634
1,635,635
1,636,636
0,637,637
2,638,638
2,639,639
4,640,640
1,641,641
1,642,642
2,643,643
1,644,644
5,645,645
4,646,646
1,647,647
1,648,648
0,649,649
4,650,650
5,651,651
0,652,652
2,653,653
5,654,654
4,655,655
1,656,656
2,657,657
2,658,658
4,659,659
1,660,660
2,661,661
2,662,662
1,663,663
3,664,664
4,665,665
4,666,666
0,667,667
3,668,668
0,669,669
2,670,670
5,671,671
1,672,672
0,673,673
2,674,674
3,675,675
2,676,676
4,677,677
4,678,678
1,679,679
1,680,680
2,681,681
0,682,682
2,683,683
1,684,684
3,685,685
2,686,686
1,687,687
1,688,688
5,689,689
3,690,690
5,691,691
2,692,692
2,693,693
2,694,694
5,695,695
2,696,696
2,697,697
0,698,698
4,699,699
0,700,700
3,701,701
0,702,702
5,703,703
2,704,704
1,705,705
1,706,706
4,707,707
4,708,708
0,709,709
2,710,710
1,711,711
4,712,712
4,713,713
2,714,714
2,715,715
0,716,716
2,717,717
3,718,718
2,719,719
2,720,720
3,721,721
0,722,722
5,723,723
4,724,724
0,725,725
3,726,726
4,727,727
1,728,728
1,729,729
2,730,730
4,731,731
2,732,732
3,733,733
3,734,734
0,735,735
0,736,736
1,737,737
3,738,738
0,739,739
0,740,740
0,741,741
0,742,742
4,743,743
3,744,744
5,745,745
2,746,746
3,747,747
0,748,748
3,749,749
4,750,750
3,751,751
1,752,752
1,753,753
4,754,754
0,755,755
0,756,756
2,757,757
0,758,758
2,759,759
2,760,760
0,761,761
0,762,762
0,763,763
0,764,764
4,765,765
5,766,766
1,767,767
1,768,768
4,769,769
0,770,770
2,771,771
3,772,772
0,773,773
0,774,774
4,775,775
4,776,776
4,777,777
4,778,778
5,779,779
0,780,780
3,781,781
2,782,782
1,783,783
0,784,784
0,785,785
4,786,786
3,787,787
0,788,788
3,789,789
1,790,790
1,791,791
5,792,792
2,793,793
2,794,794
0,795,795
1,796,796
5,797,797
0,798,798
4,799,799
1,800,800
3,801,801
2,802,802
3,803,803
1,804,804
0,805,805
5,806,806
2,807,807
0,808,808
2,809,809
5,810,810
0,811,811
3,812,812
3,813,813
2,814,814
1,815,815
2,816,816
3,817,817
2,818,818
5,819,819
3,820,820
0,821,821
4,822,822
0,823,823
1,824,824
5,825,825
4,826,826
1,827,827
5,828,828
2,829,829
4,830,830
1,831,831
2,832,832
0,833,833
2,834,834
2,835,835
2,836,836
1,837,837
5,838,838
3,839,839
0,840,840
0,841,841
3,842,842
2,843,843
4,844,844
4,845,845
4,846,846
2,847,847
0,848,848
2,849,849
3,850,850
2,851,851
5,852,852
2,853,853
0,854,854
4,855,855
2,856,856
3,857,857
3,858,858
0,859,859
0,860,860
0,861,861
3,862,862
3,863,863
4,864,864
3,865,865
1,866,866
5,867,867
4,868,868
2,869,869
1,870,870
5,871,871
2,872,872
2,873,873
4,874,874
0,875,875
2,876,876
1,877,877
3,878,878
0,879,879
5,880,880
0,881,881
1,882,882
3,883,883
5,884,884
5,885,885
1,886,886
5,887,887
2,888,888
2,889,889
1,890,890
0,891,891
1,892,892
3,893,893
1,894,894
0,895,895
4,896,896
2,897,897
0,898,898
1,899,899
1,900,900
5,901,901
4,902,902
5,903,903
0,904,904
2,905,905
1,906,906
0,907,907
0,908,908
3,909,909
0,910,910
1,911,911
3,912,912
2,913,913
2,914,914
0,915,915
5,916,916
0,917,917
4,918,918
1,919,919
2,920,920
3,921,921
0,922,922
4,923,923
2,924,924
4,925,925
3,926,926
0,927,927
1,928,928
4,929,929
0,930,930
0,931,931
4,932,932
3,933,933
4,934,934
2,935,935
5,936,936
3,937,937
5,938,938
3,939,939
2,940,940
0,941,941
1,942,942
2,943,943
1,944,944
3,945,945
5,946,946
1,947,947
2,948,948
1,949,949
4,950,950
3,951,951
5,952,952
5,953,953
1,954,954
0,955,955
4,956,956
0,957,957
1,958,958
4,959,959
0,960,960
3,961,961
3,962,962
5,963,963
3,964,964
4,965,965
2,966,966
3,967,967
2,968,968
4,969,969
0,970,970
2,971,971
0,972,972
4,973,973
2,974,974
1,975,975
0,976,976
4,977,977
2,978,978
2,979,979
4,980,980
4,981,981
0,982,982
4,983,983
5,984,984
4,985,985
0,986,986
2,987,987
4,988,988
1,989,989
0,990,990
5,991,991
0,992,992
2,993,993
3,994,994
0,995,995
2,996,996
3,997,997
1,998,998
0,999,999
4,1000,1000
1,1001,1001
0,1002,1002
5,1003,1003
5,1004,1004
0,1005,1005
2,1006,1006
2,1007,1007
0,1008,1008
2,1009,1009
4,1010,1010
4,1011,1011
0,1012,1012
4,1013,1013
5,1014,1014
2,1015,1015
3,1016,1016
3,1017,1017
2,1018,1018
0,1019,1019
0,1020,1020
4,1021,1021
4,1022,1022
3,1023,1023
1,1024,1024
2,1025,1025
3,1026,1026
1,1027,1027
1,1028,1028
1,1029,1029
4,1030,1030
1,1031,1031
3,1032,1032
1,1033,1033
1,1034,1034
0,1035,1035
0,1036,1036
1,1037,1037
3,1038,1038
4,1039,1039
4,1040,1040
1,1041,1041
4,1042,1042
2,1043,1043
2,1044,1044
1,1045,1045
0,1046,1046
4,1047,1047
3,1048,1048
0,1049,1049
2,1050,1050
2,1051,1051
1,1052,1052
0,1053,1053
2,1054,1054
2,1055,1055
4,1056,1056
4,1057,1057
3,1058,1058
2,1059,1059
4,1060,1060
2,1061,1061
4,1062,1062
4,1063,1063
3,1064,1064
4,1065,1065
2,1066,1066
1,1067,1067
1,1068,1068
5,1069,1069
2,1070,1070
1,1071,1071
3,1072,1072
0,1073,1073
2,1074,1074
0,1075,1075
0,1076,1076
3,1077,1077
2,1078,1078
2,1079,1079
0,1080,1080
5,1081,1081
3,1082,1082
0,1083,1083
1,1084,1084
4,1085,1085
0,1086,1086
4,1087,1087
1,1088,1088
5,1089,1089
0,1090,1090
2,1091,1091
2,1092,1092
3,1093,1093
0,1094,1094
3,1095,1095
0,1096,1096
2,1097,1097
5,1098,1098
2,1099,1099
4,1100,1100
2,1101,1101
3,1102,1102
0,1103,1103
3,1104,1104
0,1105,1105
0,1106,1106
5,1107,1107
0,1108,1108
4,1109,1109
2,1110,1110
2,1111,1111
0,1112,1112
0,1113,1113
1,1114,1114
5,1115,1115
2,1116,1116
2,1117,1117
5,1118,1118
3,1119,1119
0,1120,1120
0,1121,1121
0,1122,1122
0,1123,1123
1,1124,1124
1,1125,1125
0,1126,1126
4,1127,1127
0,1128,1128
0,1129,1129
1,1130,1130
0,1131,1131
4,1132,1132
0,1133,1133
0,1134,1134
0,1135,1135
4,1136,1136
2,1137,1137
2,1138,1138
4,1139,1139
0,1140,1140
4,1141,1141
1,1142,1142
2,1143,1143
4,1144,1144
0,1145,1145
2,1146,1146
4,1147,1147
0,1148,1148
3,1149,1149
0,1150,1150
3,1151,1151
0,1152,1152
0,1153,1153
1,1154,1154
3,1155,1155
1,1156,1156
0,1157,1157
5,1158,1158
4,1159,1159
1,1160,1160
0,1161,1161
5,1162,1162
2,1163,1163
0,1164,1164
4,1165,1165
0,1166,1166
4,1167,1167
4,1168,1168
3,1169,1169
0,1170,1170
2,1171,1171
3,1172,1172
0,1173,1173
5,1174,1174
4,1175,1175
4,1176,1176
3,1177,1177
0,1178,1178
2,1179,1179
4,1180,1180
4,1181,1181
5,1182,1182
4,1183,1183
2,1184,1184
0,1185,1185
3,1186,1186
4,1187,1187
4,1188,1188
0,1189,1189
2,1190,1190
3,1191,1191
2,1192,1192
5,1193,1193
2,1194,1194
4,1195,1195
3,1196,1196
4,1197,1197
3,1198,1198
3,1199,1199
2,1200,1200
0,1201,1201
2,1202,1202
0,1203,1203
0,1204,1204
1,1205,1205
0,1206,1206
1,1207,1207
4,1208,1208
4,1209,1209
4,1210,1210
5,1211,1211
5,1212,1212
2,1213,1213
3,1214,1214
1,1215,1215
1,1216,1216
3,1217,1217
0,1218,1218
3,1219,1219
2,1220,1220
1,1221,1221
0,1222,1222
0,1223,1223
4,1224,1224
1,1225,1225
4,1226,1226
1,1227,1227
0,1228,1228
4,1229,1229
5,1230,1230
0,1231,1231
3,1232,1232
2,1233,1233
4,1234,1234
