perm_index,dK,disp_kappa_scaled,adjacency_violations,single_move,max_block_move,order_dual_proximity,score_dir,connective_density_per_100,pos_weighted_connectives,sent_connective_sd,max_sent_connectives,cluster,x,y,z,motif
0,0.8214285714285714,44.6623939322626,4,7,2,0.1785714285714285,0.115902800841678,0.0,0.0,0.0,0.0,1,-0.4213987198624024,-0.4261609090723816,-0.37255749068048993,GD
1,0.3214285714285714,18.06654825518921,2,5,2,0.6785714285714286,0.4281220084106349,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
2,0.2857142857142857,16.59303438064087,3,4,2,0.7142857142857143,0.4513076997197505,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
3,0.5714285714285714,34.98670737178748,3,6,1,0.4285714285714285,0.2682580724324224,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
4,0.5,24.81999887613267,4,6,1,0.5,0.3154918674442604,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
5,0.2857142857142857,17.687733559253687,3,6,3,0.7142857142857143,0.4499758433300032,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
6,0.3571428571428571,23.307041340253477,3,5,2,0.6428571428571429,0.4021704226171997,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
7,0.4642857142857143,25.104258280030837,3,6,3,0.5357142857142857,0.3367517419132119,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
8,0.6071428571428571,45.90373577249764,2,5,3,0.3928571428571428,0.2442423910647884,0.0,0.0,0.0,0.0,0,0.1374295032156102,-0.12819251305088067,0.005724286356399743,GD
9,0.4642857142857143,24.443876333655624,3,6,1,0.5357142857142857,0.3371494464538482,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
10,0.5,27.92226999731528,4,7,2,0.5,0.3138301730824423,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
11,0.5,33.59948779047663,4,5,2,0.5,0.3115608647856949,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
12,0.5714285714285714,34.71487331479307,3,5,2,0.4285714285714285,0.2683426728743698,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
13,0.5714285714285714,38.13925558684145,3,6,2,0.4285714285714285,0.2673627755854164,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
14,0.4642857142857143,25.108851729628963,3,6,2,0.5357142857142857,0.336749046037804,0.0,0.0,0.0,0.0,0,3.4919339069854973e-17,-1.2497326749709885e-17,7.977872585986118e-18,Other
15,0.3571428571428571,20.544362327887665,4,5,2,0.6428571428571429,0.4042806277536706,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
16,0.3214285714285714,16.19152538731301,2,5,3,0.6785714285714286,0.4304101351178058,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
17,0.5714285714285714,41.45915492122031,3,6,2,0.4285714285714285,0.2665636758271237,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
