perm_index,dK,disp_kappa_scaled,adjacency_violations,single_move,max_block_move,order_dual_proximity,score_dir,connective_density_per_100,pos_weighted_connectives,sent_connective_sd,max_sent_connectives
0,0.5666666666666667,424.4849246237896,8,14,1,0.43333333333333335,0.26094010381296984,0.0,0.0,0.0,0.0
1,0.425,266.63711597970587,8,13,1,0.575,0.34649456101608234,0.0,0.0,0.0,0.0
2,0.375,190.0070322927565,7,12,2,0.625,0.3770941637341756,0.0,0.0,0.0,0.0
3,0.575,396.33646165018655,9,14,2,0.425,0.2560067034833369,0.0,0.0,0.0,0.0
4,0.5583333333333333,432.3848841622698,7,12,1,0.44166666666666665,0.2659229671237223,0.0,0.0,0.0,0.0
5,0.43333333333333335,271.3793061644933,7,12,2,0.5666666666666667,0.341468540344098,0.0,0.0,0.0,0.0
6,0.49166666666666664,287.50747668186995,6,14,2,0.5083333333333333,0.3063864458716994,0.0,0.0,0.0,0.0
7,0.525,359.742191532079,8,14,2,0.475,0.2861088251094257,0.0,0.0,0.0,0.0
8,0.44166666666666665,299.63382082441797,8,12,2,0.5583333333333333,0.33633052229088234,0.0,0.0,0.0,0.0
9,0.5,347.54825270345316,9,12,1,0.5,0.30114761728655204,0.0,0.0,0.0,0.0
10,0.425,217.21821768165694,9,13,1,0.575,0.3468330275274428,0.0,0.0,0.0,0.0
11,0.6166666666666667,487.9402643534563,10,14,1,0.38333333333333336,0.23081809584761637,0.0,0.0,0.0,0.0
12,0.55,462.9305336346477,7,12,2,0.45,0.27086219804690626,0.0,0.0,0.0,0.0
13,0.4666666666666667,270.15516599207723,8,13,2,0.5333333333333333,0.3214751701245908,0.0,0.0,0.0,0.0
14,0.225,75.38567905439123,6,7,4,0.775,0.47023658367578525,0.0,0.0,0.0,0.0
15,0.5833333333333334,374.6426977228197,7,14,2,0.4166666666666667,0.25106484167647825,0.0,0.0,0.0,0.0
16,0.5833333333333334,513.8223242257984,7,14,2,0.4166666666666667,0.25077696708393815,0.0,0.0,0.0,0.0
17,0.38333333333333336,199.42392512610837,8,10,2,0.6166666666666667,0.37199576971535864,0.0,0.0,0.0,0.0
18,0.5916666666666667,564.6539914825051,7,13,1,0.4083333333333333,0.2457071460752034,0.0,0.0,0.0,0.0
19,0.5166666666666667,410.1049778762782,6,13,2,0.48333333333333334,0.2909729874886613,0.0,0.0,0.0,0.0
20,0.5916666666666667,430.25565101533425,8,12,2,0.4083333333333333,0.24592752407779062,0.0,0.0,0.0,0.0
21,0.5416666666666666,354.7689861418642,12,15,1,0.4583333333333333,0.2761243250974117,0.0,0.0,0.0,0.0
22,0.475,333.0002328391465,6,13,3,0.525,0.31619760395554164,0.0,0.0,0.0,0.0
23,0.49166666666666664,282.0747620934027,10,13,1,0.5083333333333333,0.3064130542653888,0.0,0.0,0.0,0.0
24,0.5916666666666667,548.5029665538294,8,13,2,0.4083333333333333,0.2457279305560598,0.0,0.0,0.0,0.0
25,0.24166666666666667,85.922218123005,7,9,1,0.7583333333333333,0.45960181537744416,0.0,0.0,0.0,0.0
26,0.55,350.96069565332084,8,15,3,0.45,0.2711364905369831,0.0,0.0,0.0,0.0
27,0.4666666666666667,234.7325046123765,9,15,1,0.5333333333333333,0.32169683854442455,0.0,0.0,0.0,0.0
28,0.675,654.2613373437417,11,12,1,0.325,0.1956104434630943,0.0,0.0,0.0,0.0
29,0.38333333333333336,188.6607574907075,7,12,2,0.6166666666666667,0.3721090288011719,0.0,0.0,0.0,0.0
30,0.375,178.46778823274764,5,15,2,0.625,0.37722881222273297,0.0,0.0,0.0,0.0
31,0.43333333333333335,283.49734884324306,6,10,2,0.5666666666666667,0.3414059884973494,0.0,0.0,0.0,0.0
32,0.5,334.3829459884051,8,15,2,0.5,0.3011926664870248,0.0,0.0,0.0,0.0
33,0.4666666666666667,318.11428062612805,6,13,2,0.5333333333333333,0.32125346944428546,0.0,0.0,0.0,0.0
34,0.4,176.2055511165714,10,10,1,0.6,0.3622572656301093,0.0,0.0,0.0,0.0
35,0.475,321.7757861324921,8,11,2,0.525,0.31623925033160893,0.0,0.0,0.0,0.0
36,0.625,613.2077640983877,5,14,2,0.375,0.2256512454309123,0.0,0.0,0.0,0.0
37,0.5833333333333334,554.8544349976006,7,12,1,0.4166666666666667,0.2507196128605176,0.0,0.0,0.0,0.0
38,0.5583333333333333,386.2608686430901,8,14,2,0.44166666666666665,0.2660328954779282,0.0,0.0,0.0,0.0
39,0.5833333333333334,517.5976729236233,7,12,2,0.4166666666666667,0.25077131082703263,0.0,0.0,0.0,0.0
40,0.49166666666666664,286.7317516334256,7,11,2,0.5083333333333333,0.30639018373095506,0.0,0.0,0.0,0.0
