perm_index,dK,disp_kappa_scaled,adjacency_violations,single_move,max_block_move,order_dual_proximity,score_dir,connective_density_per_100,pos_weighted_connectives,sent_connective_sd,max_sent_connectives,cluster,x,y,z,motif,adjudicator_note,final_label
0,0.5666666666666667,424.4849246237896,8,14,1,0.4333333333333333,0.2609401038129698,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
1,0.425,266.63711597970587,8,13,1,0.575,0.3464945610160823,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
2,0.375,190.0070322927565,7,12,2,0.625,0.3770941637341756,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
3,0.575,396.33646165018655,9,14,2,0.425,0.2560067034833369,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
4,0.5583333333333333,432.3848841622698,7,12,1,0.4416666666666666,0.2659229671237223,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
5,0.4333333333333333,271.3793061644933,7,12,2,0.5666666666666667,0.341468540344098,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
6,0.4916666666666666,287.50747668186995,6,14,2,0.5083333333333333,0.3063864458716994,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
7,0.525,359.742191532079,8,14,2,0.475,0.2861088251094257,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
8,0.4416666666666666,299.633820824418,8,12,2,0.5583333333333333,0.3363305222908823,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
9,0.5,347.5482527034532,9,12,1,0.5,0.301147617286552,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
10,0.425,217.2182176816569,9,13,1,0.575,0.3468330275274428,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
11,0.6166666666666667,487.9402643534563,10,14,1,0.3833333333333333,0.2308180958476163,0.0,0.0,0.0,0.0,0,0.008475912560942362,0.021155830202330483,-0.015532356761603947,GD,,
12,0.55,462.9305336346477,7,12,2,0.45,0.2708621980469062,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
13,0.4666666666666667,270.15516599207723,8,13,2,0.5333333333333333,0.3214751701245908,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
14,0.225,75.38567905439123,6,7,4,0.775,0.4702365836757852,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
15,0.5833333333333334,374.6426977228197,7,14,2,0.4166666666666667,0.2510648416764782,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
16,0.5833333333333334,513.8223242257984,7,14,2,0.4166666666666667,0.2507769670839381,0.0,0.0,0.0,0.0,0,0.03326079785357129,-0.0033053471974273563,0.00037993013387557805,Other,,
17,0.3833333333333333,199.4239251261084,8,10,2,0.6166666666666667,0.3719957697153586,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
18,0.5916666666666667,564.6539914825051,7,13,1,0.4083333333333333,0.2457071460752034,0.0,0.0,0.0,0.0,0,0.05478367304965487,-0.1753857241747859,0.002763784252072292,Other,,
19,0.5166666666666667,410.1049778762782,6,13,2,0.4833333333333333,0.2909729874886613,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
20,0.5916666666666667,430.2556510153343,8,12,2,0.4083333333333333,0.2459275240777906,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
21,0.5416666666666666,354.7689861418642,12,15,1,0.4583333333333333,0.2761243250974117,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,FM/EM,,
22,0.475,333.0002328391465,6,13,3,0.525,0.3161976039555416,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
23,0.4916666666666666,282.0747620934027,10,13,1,0.5083333333333333,0.3064130542653888,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
24,0.5916666666666667,548.5029665538294,8,13,2,0.4083333333333333,0.2457279305560598,0.0,0.0,0.0,0.0,0,-0.15961925188977194,-0.09799708327607831,0.0021672623518296957,Other,,
25,0.2416666666666666,85.922218123005,7,9,1,0.7583333333333333,0.4596018153774441,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
26,0.55,350.96069565332084,8,15,3,0.45,0.2711364905369831,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
27,0.4666666666666667,234.7325046123765,9,15,1,0.5333333333333333,0.3216968385444245,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,FM/EM,,
28,0.675,654.2613373437417,11,12,1,0.325,0.1956104434630943,0.0,0.0,0.0,0.0,1,-0.07238369924875666,-0.17081455775384535,-0.33155726422329646,GD,,
29,0.3833333333333333,188.6607574907075,7,12,2,0.6166666666666667,0.3721090288011719,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
30,0.375,178.46778823274764,5,15,2,0.625,0.3772288122227329,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
31,0.4333333333333333,283.49734884324306,6,10,2,0.5666666666666667,0.3414059884973494,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
32,0.5,334.3829459884051,8,15,2,0.5,0.3011926664870248,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
33,0.4666666666666667,318.11428062612805,6,13,2,0.5333333333333333,0.3212534694442854,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
34,0.4,176.2055511165714,10,10,1,0.6,0.3622572656301093,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
35,0.475,321.7757861324921,8,11,2,0.525,0.3162392503316089,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
36,0.625,613.2077640983877,5,14,2,0.375,0.2256512454309123,0.0,0.0,0.0,0.0,0,0.11390406623583563,-0.11387880180039457,0.22854278757983718,GD,,
37,0.5833333333333334,554.8544349976006,7,12,1,0.4166666666666667,0.2507196128605176,0.0,0.0,0.0,0.0,0,-0.2110510511478957,0.00136886954769485,-0.11324694876638565,Other,,
38,0.5583333333333333,386.2608686430901,8,14,2,0.4416666666666666,0.2660328954779282,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
39,0.5833333333333334,517.5976729236233,7,12,2,0.4166666666666667,0.2507713108270326,0.0,0.0,0.0,0.0,0,-0.02008870384425422,0.01855115967520915,-0.017800469297595035,Other,,
40,0.4916666666666666,286.7317516334256,7,11,2,0.5083333333333333,0.306390183730955,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
41,0.375,227.0778245925572,9,9,2,0.625,0.3767537873342775,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
42,0.5166666666666667,358.4444382310286,6,14,2,0.4833333333333333,0.2911128284581854,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
43,0.4166666666666667,207.56140995303488,8,12,2,0.5833333333333334,0.351917900344508,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
44,0.575,450.06581206004,8,13,2,0.425,0.2558867885556948,0.0,0.0,0.0,0.0,0,-9.734500733849459e-19,2.1329868752998255e-18,4.1081450376361827e-19,Other,,
45,0.6333333333333333,510.439120894944,8,14,2,0.3666666666666666,0.220782106772161,0.0,0.0,0.0,0.0,0,-0.1444896042957316,-0.07504801387538503,0.009824765052175314,GD,,
46,0.65,524.0115207529975,9,15,2,0.35,0.2107618880428114,0.0,0.0,0.0,0.0,3,0.11264531252684502,0.19273821879977512,0.1489226072022509,GD,,
