index,primary_label_canonical,cluster_parseA,parseA_mapped,cluster_parseB,parseB_mapped,stability_fraction_first
0,GD,4,GD,5,BRE,1.0
1,GD,4,GD,1,Other,1.0
2,GD,4,GD,4,DCO,1.0
3,GD,2,APD,2,DCO,1.0
4,GD,4,GD,5,BRE,1.0
5,GD,5,BRE,0,APD,1.0
6,GD,4,GD,3,DCO,1.0
7,GD,2,APD,0,APD,1.0
8,GD,0,DCO,5,BRE,1.0
9,GD,3,DCO,2,DCO,1.0
10,GD,1,DCO,1,Other,1.0
11,GD,5,BRE,5,BRE,1.0
12,GD,4,GD,4,DCO,1.0
13,GD,2,APD,0,APD,1.0
14,GD,5,BRE,5,BRE,1.0
15,GD,4,GD,1,Other,1.0
16,GD,2,APD,0,APD,1.0
17,GD,0,DCO,1,Other,1.0
18,GD,5,BRE,5,BRE,1.0
19,GD,4,GD,4,DCO,1.0
20,GD,5,BRE,5,BRE,1.0
21,GD,4,GD,5,BRE,1.0
22,GD,4,GD,2,DCO,1.0
23,GD,5,BRE,5,BRE,1.0
24,GD,5,BRE,5,BRE,1.0
25,GD,4,GD,0,APD,1.0
26,GD,3,DCO,3,DCO,1.0
27,GD,5,BRE,5,BRE,1.0
28,GD,1,DCO,3,DCO,1.0
29,GD,5,BRE,5,BRE,1.0
30,GD,1,DCO,2,DCO,1.0
31,GD,4,GD,4,DCO,1.0
32,GD,3,DCO,2,DCO,1.0
33,GD,2,APD,2,DCO,1.0
34,GD,0,DCO,0,APD,1.0
35,GD,4,GD,1,Other,1.0
36,GD,5,BRE,0,APD,1.0
37,GD,0,DCO,0,APD,1.0
38,GD,4,GD,5,BRE,1.0
39,GD,2,APD,2,DCO,1.0
40,GD,5,BRE,5,BRE,1.0
41,GD,2,APD,2,DCO,1.0
42,GD,5,BRE,4,DCO,1.0
43,GD,5,BRE,4,DCO,1.0
44,GD,2,APD,2,DCO,1.0
45,GD,2,APD,0,APD,1.0
46,GD,0,DCO,0,APD,1.0
47,GD,4,GD,2,DCO,1.0
48,GD,5,BRE,3,DCO,1.0
49,GD,3,DCO,3,DCO,1.0
50,GD,1,DCO,1,Other,1.0
51,GD,2,APD,0,APD,1.0
52,GD,4,GD,1,Other,1.0
53,GD,5,BRE,5,BRE,1.0
54,GD,4,GD,4,DCO,1.0
55,GD,5,BRE,1,Other,1.0
56,GD,1,DCO,1,Other,1.0
57,GD,2,APD,0,APD,1.0
58,GD,5,BRE,5,BRE,1.0
59,GD,5,BRE,5,BRE,1.0
60,GD,3,DCO,2,DCO,1.0
61,GD,4,GD,3,DCO,1.0
62,GD,0,DCO,4,DCO,1.0
63,GD,2,APD,0,APD,1.0
64,GD,2,APD,0,APD,1.0
65,GD,4,GD,5,BRE,1.0
66,GD,3,DCO,3,DCO,1.0
67,GD,5,BRE,5,BRE,1.0
68,GD,4,GD,0,APD,1.0
69,GD,1,DCO,1,Other,1.0
70,GD,1,DCO,4,DCO,1.0
71,GD,1,DCO,2,DCO,1.0
72,GD,3,DCO,2,DCO,1.0
73,GD,2,APD,0,APD,1.0
74,GD,2,APD,3,DCO,1.0
75,GD,4,GD,1,Other,1.0
76,GD,2,APD,1,Other,1.0
77,GD,0,DCO,1,Other,1.0
78,GD,4,GD,0,APD,1.0
79,GD,4,GD,1,Other,1.0
80,GD,0,DCO,1,Other,1.0
81,GD,3,DCO,4,DCO,1.0
82,GD,5,BRE,5,BRE,1.0
83,GD,5,BRE,4,DCO,1.0
84,GD,5,BRE,5,BRE,1.0
85,GD,2,APD,0,APD,1.0
86,GD,2,APD,0,APD,1.0
87,GD,2,APD,2,DCO,1.0
88,GD,1,DCO,4,DCO,1.0
89,GD,1,DCO,4,DCO,1.0
90,GD,2,APD,1,Other,1.0
91,GD,0,DCO,0,APD,1.0
92,GD,1,DCO,2,DCO,1.0
93,GD,0,DCO,0,APD,1.0
94,GD,2,APD,5,BRE,1.0
95,GD,3,DCO,2,DCO,1.0
96,GD,5,BRE,0,APD,1.0
97,GD,2,APD,1,Other,1.0
98,GD,5,BRE,5,BRE,1.0
99,GD,2,APD,1,Other,1.0
