# run_date: 2026-02-22T00:00:00Z
# git_commit: bb1f1b38d9c01e3900510d2630ffca28220ecb0c
# command: python motif_discovery_test.py --embeddings "C:\Users\ctint\Desktop\Scripts\embeddings_5000_dim8.csv" --outdir "motif_results_robustness/peripheral_95" --peripheral_pct 95 --dbscan_eps 0.5 --dbscan_min_samples 5 --null_method radial_preserve --B 1000 --alpha 0.05 --seed 42

peripheral,candidate_id,observed_stat,null_n,null_mean,null_sd,null_min,null_1pct,null_5pct,null_25pct,null_median,null_75pct,null_95pct,null_99pct,null_max
peripheral_85,0,4836000000000.0,1000,4836539000000.0,777482475.6867514,4836000000000.0,4836000000000.0,4836000000000.0,4836000000000.0,4836000000000.0,4837000000000.0,4838000000000.0,4839000000000.0,4841000000000.0
peripheral_85,1,3000000000.0,1000,3547000000.0,817184801.6207838,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3999999999.9999995,5000000000.0,6000000000.0,10000000000.0
peripheral_85,2,3999999999.9999995,1000,4460000000.0,732393336.9440223,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,5000000000.0,6000000000.0,7000000000.0,7999999999.999999
peripheral_85,3,3999999999.9999995,1000,4505000000.0,749649918.2952001,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,5000000000.0,6000000000.0,7000000000.0,7999999999.999999
peripheral_85,4,3000000000.0,1000,3533000000.0,808029083.6349889,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3999999999.9999995,5000000000.0,6000000000.0,9000000000.0
peripheral_85,5,3000000000.0,1000,3485000000.0,750849518.87845,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3999999999.9999995,5000000000.0,6000000000.0,7000000000.0
peripheral_90,0,4836000000000.0,1000,4836539000000.0,777482475.6867514,4836000000000.0,4836000000000.0,4836000000000.0,4836000000000.0,4836000000000.0,4837000000000.0,4838000000000.0,4839000000000.0,4841000000000.0
peripheral_90,1,3000000000.0,1000,3547000000.0,817184801.6207838,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3999999999.9999995,5000000000.0,6000000000.0,10000000000.0
peripheral_90,2,3999999999.9999995,1000,4460000000.0,732393336.9440223,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,5000000000.0,6000000000.0,7000000000.0,7999999999.999999
peripheral_90,3,3999999999.9999995,1000,4505000000.0,749649918.2952001,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,5000000000.0,6000000000.0,7000000000.0,7999999999.999999
peripheral_90,4,3000000000.0,1000,3533000000.0,808029083.6349889,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3999999999.9999995,5000000000.0,6000000000.0,9000000000.0
peripheral_90,5,3000000000.0,1000,3485000000.0,750849518.87845,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3999999999.9999995,5000000000.0,6000000000.0,7000000000.0
peripheral_95,0,4836000000000.0,1000,4836539000000.0,777482475.6867514,4836000000000.0,4836000000000.0,4836000000000.0,4836000000000.0,4836000000000.0,4837000000000.0,4838000000000.0,4839000000000.0,4841000000000.0
peripheral_95,1,3000000000.0,1000,3547000000.0,817184801.6207838,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3999999999.9999995,5000000000.0,6000000000.0,10000000000.0
peripheral_95,2,3999999999.9999995,1000,4460000000.0,732393336.9440223,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,5000000000.0,6000000000.0,7000000000.0,7999999999.999999
peripheral_95,3,3999999999.9999995,1000,4505000000.0,749649918.2952001,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,3999999999.9999995,5000000000.0,6000000000.0,7000000000.0,7999999999.999999
peripheral_95,4,3000000000.0,1000,3533000000.0,808029083.6349889,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3999999999.9999995,5000000000.0,6000000000.0,9000000000.0
peripheral_95,5,3000000000.0,1000,3485000000.0,750849518.87845,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3999999999.9999995,5000000000.0,6000000000.0,7000000000.0

